offer_id,merchant_id,offer_description,discount_value,start_date,end_date
1,1,"Spend 30, Get 10 Back",10,2024-07-25,2024-10-09
2,1,"Spend 90, Get 30 Back",30,2024-05-07,2024-06-18
3,1,"Spend 100, Get 20 Back",20,2024-08-17,2024-09-24
4,1,"Spend 150, Get 50 Back",50,2024-05-22,2024-07-20
5,2,"Spend 40, Get 10 Back",10,2025-02-17,2025-05-13
6,2,"Spend 30, Get 10 Back",10,2024-11-29,2025-02-01
7,3,"Spend 30, Get 10 Back",10,2024-03-26,2024-05-21
8,3,"Spend 400, Get 100 Back",100,2024-04-19,2024-07-13
9,4,"Spend 15, Get 5 Back",5,2024-07-13,2024-08-12
10,4,"Spend 200, Get 50 Back",50,2025-04-19,2025-07-08
11,4,"Spend 400, Get 100 Back",100,2024-08-04,2024-10-17
12,5,"Spend 300, Get 100 Back",100,2024-04-07,2024-05-25
13,5,"Spend 60, Get 20 Back",20,2024-10-23,2025-01-08
14,5,"Spend 25, Get 5 Back",5,2024-06-09,2024-07-12
15,5,"Spend 25, Get 5 Back",5,2024-09-01,2024-11-02
16,6,"Spend 45, Get 15 Back",15,2025-05-06,2025-07-07
17,6,"Spend 30, Get 10 Back",10,2024-02-05,2024-04-13
18,6,"Spend 50, Get 10 Back",10,2025-03-17,2025-05-01
19,6,"Spend 150, Get 50 Back",50,2025-04-27,2025-07-22
20,7,"Spend 100, Get 20 Back",20,2024-10-31,2024-12-02
21,7,"Spend 40, Get 10 Back",10,2024-12-02,2025-02-07
22,7,"Spend 120, Get 30 Back",30,2024-04-14,2024-06-25
23,7,"Spend 90, Get 30 Back",30,2024-05-15,2024-07-09
24,8,"Spend 100, Get 25 Back",25,2024-06-10,2024-09-07
25,8,"Spend 30, Get 10 Back",10,2024-08-22,2024-10-30
26,9,"Spend 30, Get 10 Back",10,2024-10-02,2024-11-14
27,9,"Spend 75, Get 25 Back",25,2025-04-22,2025-06-13
28,9,"Spend 30, Get 10 Back",10,2024-07-08,2024-08-25
29,9,"Spend 60, Get 15 Back",15,2025-03-02,2025-05-05
30,10,"Spend 125, Get 25 Back",25,2025-02-17,2025-04-29
31,10,"Spend 25, Get 5 Back",5,2025-02-22,2025-04-28
32,10,"Spend 125, Get 25 Back",25,2024-02-23,2024-05-23
33,10,"Spend 60, Get 15 Back",15,2024-02-29,2024-05-25
34,11,"Spend 60, Get 15 Back",15,2024-05-24,2024-07-31
35,11,"Spend 100, Get 20 Back",20,2024-06-24,2024-08-06
36,12,"Spend 125, Get 25 Back",25,2024-09-07,2024-10-23
37,12,"Spend 15, Get 5 Back",5,2024-11-20,2025-01-16
38,12,"Spend 75, Get 25 Back",25,2024-01-02,2024-02-22
39,12,"Spend 75, Get 15 Back",15,2024-05-14,2024-06-23
40,13,"Spend 500, Get 100 Back",100,2024-12-27,2025-02-22
