redemption_id,member_id,offer_id,redemption_date,transaction_amount
1,17,3,2024-09-01,110.02
2,48,27,2025-05-01,156.93
3,50,16,2025-06-26,60.47
4,47,27,2025-05-13,146.18
5,47,27,2025-06-12,106.11
6,17,3,2024-08-29,119.0
7,50,30,2025-03-18,104.22
8,49,18,2025-04-03,45.53
9,34,33,2024-04-11,94.77
10,20,17,2024-02-09,38.25
11,50,28,2024-07-28,48.09
12,37,33,2024-03-24,63.96
13,34,28,2024-08-20,56.58
14,45,27,2025-05-10,129.08
15,17,1,2024-09-18,58.57
16,31,39,2024-06-11,72.4
17,41,19,2025-07-15,225.28
18,17,16,2025-06-26,61.46
19,31,2,2024-06-15,181.48
20,45,37,2024-12-14,24.92
21,45,16,2025-05-06,92.67
22,45,15,2024-10-04,24.47
23,11,36,2024-10-06,97.5
24,36,30,2025-03-29,158.75
25,47,29,2025-05-05,71.7
26,14,36,2024-10-07,121.26
27,20,16,2025-06-24,87.5
28,20,32,2024-04-19,93.31
29,24,19,2025-06-06,308.95
30,18,6,2025-01-17,55.82
31,28,14,2024-06-30,25.64
32,28,27,2025-05-16,155.36
33,48,2,2024-06-12,139.23
34,21,1,2024-09-12,60.6
35,47,27,2025-05-26,147.49
36,3,18,2025-04-10,45.08
37,31,26,2024-10-10,64.42
38,27,35,2024-07-31,103.86
39,28,2,2024-05-15,183.02
40,26,12,2024-04-27,413.5
41,28,25,2024-09-23,60.05
42,35,31,2025-02-28,32.5
43,6,23,2024-07-03,191.16
44,18,3,2024-08-29,120.35
45,12,40,2025-01-26,550.84
46,49,30,2025-04-05,100.08
47,46,25,2024-09-16,37.28
48,49,16,2025-05-25,90.76
49,41,24,2024-07-23,88.45
50,10,27,2025-05-19,159.56
51,29,30,2025-03-11,142.53
52,34,18,2025-04-16,48.95
53,18,38,2024-01-07,108.42
54,31,29,2025-04-19,67.64
55,15,32,2024-04-25,103.41
56,39,17,2024-03-11,51.67
57,28,6,2025-01-30,51.66
58,41,16,2025-06-20,74.59
59,17,2,2024-06-01,167.26
60,34,24,2024-07-24,119.41
61,45,36,2024-10-06,107.82
62,47,17,2024-02-29,44.47
63,47,12,2024-05-07,432.95
64,15,19,2025-06-04,177.12
65,4,35,2024-06-27,103.2
66,1,32,2024-05-06,108.83
67,15,31,2025-02-28,21.29
68,6,31,2025-04-14,24.88
69,5,37,2024-11-29,19.74
70,50,27,2025-05-31,104.43
71,39,29,2025-04-25,66.24
72,47,40,2025-01-02,634.28
73,14,17,2024-03-06,40.21
74,28,5,2025-04-15,55.68
75,18,31,2025-03-30,28.1
76,18,30,2025-03-22,146.59
77,16,38,2024-01-29,96.11
78,6,18,2025-03-20,39.98
79,45,29,2025-04-09,83.99
80,32,18,2025-04-14,37.41
81,47,3,2024-09-06,106.22
82,44,2,2024-06-12,157.84
83,44,2,2024-05-24,156.86
84,15,29,2025-04-26,81.07
85,31,32,2024-04-07,118.13
86,45,11,2024-10-06,436.47
87,35,26,2024-10-04,48.64
88,11,21,2025-01-22,60.95
89,35,1,2024-09-22,47.4
90,17,29,2025-04-05,77.21
91,45,19,2025-06-28,193.21
92,1,11,2024-10-13,472.4
93,20,19,2025-06-19,300.21
94,35,31,2025-03-12,23.25
95,12,39,2024-05-18,64.93
96,50,27,2025-05-24,107.54
97,21,1,2024-10-08,52.4
98,29,32,2024-05-01,123.83
99,18,16,2025-06-29,87.4
100,31,3,2024-09-10,93.16
101,39,3,2024-09-07,122.18
102,30,29,2025-03-03,85.01
103,14,27,2025-04-26,122.71
104,45,17,2024-03-26,54.5
105,4,32,2024-05-12,92.63
106,48,19,2025-05-08,240.1
107,6,3,2024-09-04,91.51
108,34,28,2024-08-03,51.98
109,7,12,2024-05-16,611.25
110,13,32,2024-03-23,122.09
111,43,17,2024-02-06,61.97
112,44,30,2025-04-27,99.35
113,39,29,2025-04-09,81.25
114,30,28,2024-07-27,40.98
115,37,7,2024-04-17,52.24
116,43,19,2025-06-16,216.17
117,48,4,2024-06-22,299.93
118,18,19,2025-07-13,295.29
119,48,40,2025-02-11,580.24
120,29,3,2024-08-19,104.77
121,21,9,2024-07-23,28.71
122,50,12,2024-05-11,612.94
123,20,24,2024-07-01,106.77
124,21,31,2025-04-06,29.56
125,13,30,2025-03-17,152.01
126,50,26,2024-11-06,45.97
127,34,26,2024-10-09,48.64
128,41,17,2024-03-23,38.25
129,40,36,2024-09-21,136.07
130,21,30,2025-04-10,96.25
131,21,3,2024-09-17,76.97
132,12,16,2025-05-30,72.91
133,25,18,2025-03-30,48.3
134,9,16,2025-07-07,83.36
135,20,23,2024-05-27,192.14
136,17,30,2025-02-19,91.29
137,12,22,2024-06-25,123.47
138,17,36,2024-09-21,112.14
139,13,39,2024-05-22,76.81
140,3,12,2024-04-15,354.46
141,2,16,2025-05-17,64.44
142,6,34,2024-07-23,72.67
143,10,24,2024-08-06,125.29
144,50,40,2025-02-20,547.67
145,31,2,2024-06-01,143.36
146,7,29,2025-04-12,79.87
147,40,5,2025-05-09,52.56
148,30,39,2024-06-15,79.74
149,47,30,2025-03-01,110.94
150,7,31,2025-03-05,23.98
151,36,36,2024-10-12,112.22
152,47,28,2024-07-11,64.05
153,10,39,2024-06-19,75.33
154,20,24,2024-08-22,104.46
155,49,28,2024-08-16,53.41
156,43,36,2024-10-21,107.56
157,48,12,2024-04-26,626.46
158,13,23,2024-06-20,164.16
159,41,5,2025-02-20,37.75
160,28,34,2024-07-21,67.84
161,23,24,2024-08-21,132.22
162,48,4,2024-06-30,182.46
163,43,6,2025-01-22,49.57
164,17,29,2025-03-16,68.03
165,44,8,2024-07-03,495.99
166,27,20,2024-11-03,70.46
167,1,19,2025-06-29,287.05
168,34,12,2024-05-22,419.03
169,47,23,2024-05-17,144.26
170,23,30,2025-04-12,130.5
171,27,27,2025-04-23,159.96
172,10,24,2024-07-11,120.18
173,27,26,2024-10-21,57.37
174,15,15,2024-09-05,25.16
175,13,10,2025-05-21,204.59
176,48,39,2024-05-18,60.47
177,37,32,2024-05-07,121.17
178,40,37,2024-12-10,30.46
179,6,21,2025-01-31,48.27
180,32,38,2024-01-06,110.78
181,25,29,2025-04-07,55.95
182,38,33,2024-05-09,95.44
183,37,3,2024-08-29,89.29
184,6,31,2025-04-20,19.05
185,46,12,2024-05-05,647.3
186,49,19,2025-06-09,276.83
187,41,4,2024-06-12,184.89
188,47,25,2024-09-10,45.0
189,24,38,2024-01-21,160.08
190,46,26,2024-10-07,44.29
191,24,25,2024-09-07,55.1
192,43,34,2024-07-17,75.38
193,15,2,2024-05-20,135.76
194,12,32,2024-03-13,93.29
195,24,34,2024-06-09,79.38
196,45,10,2025-07-07,296.36
197,44,3,2024-09-01,128.18
198,48,40,2025-02-15,484.68
199,50,35,2024-07-24,124.24
200,49,30,2025-04-06,125.22
201,16,27,2025-06-12,132.85
202,31,17,2024-03-23,51.64
203,14,19,2025-05-31,242.4
204,29,33,2024-03-11,95.09
205,32,27,2025-05-15,105.18
206,9,2,2024-06-17,135.18
207,21,10,2025-06-18,279.41
208,1,31,2025-03-04,17.79
209,11,39,2024-06-01,63.19
210,28,8,2024-07-09,588.17
211,32,30,2025-04-26,88.73
212,46,33,2024-03-18,65.61
213,18,1,2024-10-06,47.5
214,34,24,2024-08-18,125.55
215,26,33,2024-04-29,54.46
216,25,17,2024-02-13,45.34
217,25,22,2024-06-22,135.47
218,31,30,2025-03-12,148.36
219,16,30,2025-02-22,146.83
220,22,3,2024-09-18,93.89
221,16,3,2024-09-04,91.42
222,24,4,2024-06-08,193.67
223,27,24,2024-08-05,154.6
224,15,25,2024-10-24,55.76
225,7,34,2024-07-17,56.05
226,23,21,2025-01-08,44.19
227,50,28,2024-07-11,37.25
228,50,26,2024-11-14,39.8
229,40,2,2024-06-04,108.13
230,41,5,2025-04-04,45.86
231,14,37,2025-01-02,24.25
232,48,24,2024-06-19,130.54
233,3,16,2025-06-22,60.87
234,49,36,2024-09-23,140.3
235,32,19,2025-05-22,193.4
236,45,29,2025-04-11,82.55
237,14,19,2025-07-17,201.11
238,11,24,2024-07-05,146.9
239,3,16,2025-05-29,77.43
240,35,24,2024-06-26,133.4
241,27,6,2025-01-29,50.77
242,6,27,2025-04-30,160.43
243,15,36,2024-09-15,119.95
244,34,4,2024-05-31,220.62
245,46,11,2024-09-01,453.81
246,41,6,2025-01-03,38.76
247,43,38,2024-02-10,141.55
248,37,39,2024-05-16,89.64
249,41,2,2024-06-12,128.82
250,3,27,2025-05-23,154.17
251,21,35,2024-07-24,84.69
252,6,26,2024-10-05,39.74
253,17,27,2025-05-13,133.0
254,23,33,2024-03-30,73.49
255,13,18,2025-03-23,36.52
256,14,27,2025-06-13,112.06
257,31,32,2024-04-26,153.43
258,27,32,2024-04-27,121.79
259,25,16,2025-05-09,54.77
260,42,32,2024-05-19,122.79
261,10,35,2024-07-21,78.04
262,48,17,2024-03-27,45.98
263,36,26,2024-10-14,45.88
264,32,19,2025-06-23,289.66
265,40,18,2025-04-29,53.33
266,24,26,2024-11-06,63.17
267,33,10,2025-06-09,250.01
268,46,3,2024-09-07,118.24
269,40,9,2024-07-23,19.94
270,34,33,2024-05-01,84.39
271,44,2,2024-05-14,193.19
272,47,38,2024-02-15,134.69
273,42,39,2024-06-20,78.49
274,15,4,2024-06-24,269.35
275,45,25,2024-09-22,35.95
276,29,8,2024-05-29,475.63
277,28,27,2025-05-24,145.62
278,47,31,2025-03-01,28.09
279,23,34,2024-07-24,76.15
280,24,30,2025-04-27,114.07
281,16,17,2024-03-07,43.37
282,21,20,2024-11-18,112.29
283,24,32,2024-05-04,157.53
284,37,18,2025-04-29,51.3
285,49,26,2024-10-11,43.71
286,7,19,2025-06-10,313.6
287,17,17,2024-03-01,59.84
288,45,18,2025-04-03,39.12
289,43,16,2025-07-02,76.4
290,28,15,2024-09-22,28.26
291,35,9,2024-08-11,19.87
292,16,31,2025-03-30,22.32
293,8,4,2024-07-02,261.12
294,15,3,2024-09-12,122.93
295,27,3,2024-09-17,81.18
296,1,19,2025-06-04,260.19
297,41,22,2024-06-22,152.19
298,11,30,2025-03-31,99.69
299,46,30,2025-03-12,88.56
300,41,13,2024-12-13,119.62
301,27,33,2024-05-24,56.79
302,26,16,2025-05-21,72.6
303,21,18,2025-04-23,56.69
304,25,1,2024-08-24,36.86
305,46,33,2024-04-08,83.56
306,17,19,2025-05-25,318.6
307,48,31,2025-04-10,23.74
308,35,8,2024-06-22,410.65
309,23,35,2024-07-27,96.51
310,33,32,2024-04-20,148.15
311,28,30,2025-04-16,129.79
312,22,36,2024-10-23,89.13
313,48,17,2024-03-03,52.35
314,45,3,2024-08-21,102.47
315,6,4,2024-07-20,245.81
316,49,19,2025-05-14,289.87
317,26,27,2025-05-20,152.72
318,45,25,2024-10-30,38.99
319,34,23,2024-06-09,152.6
320,31,2,2024-06-10,143.17
321,14,16,2025-05-23,60.98
322,43,8,2024-06-11,534.48
323,6,2,2024-05-13,158.45
324,46,29,2025-03-08,63.51
325,18,3,2024-09-20,83.04
326,21,4,2024-06-05,297.37
327,39,37,2025-01-08,27.59
328,13,21,2025-02-06,41.63
329,36,20,2024-11-11,107.56
330,5,28,2024-07-30,63.25
331,26,27,2025-05-03,144.08
332,17,31,2025-04-01,30.36
333,28,4,2024-06-26,254.5
334,17,25,2024-10-03,54.4
335,8,29,2025-03-26,54.82
336,6,39,2024-05-26,88.71
337,17,36,2024-09-28,110.24
338,16,1,2024-08-09,57.41
339,45,31,2025-03-20,23.45
340,49,16,2025-05-24,69.63
341,33,20,2024-12-01,97.96
342,23,31,2025-03-20,23.06
343,17,27,2025-06-08,98.44
344,38,17,2024-03-29,43.86
345,26,13,2025-01-03,120.0
346,45,32,2024-04-06,106.8
347,41,32,2024-04-25,122.06
348,47,23,2024-06-18,148.95
349,6,4,2024-07-13,275.23
350,41,1,2024-08-23,37.04
351,32,10,2025-06-16,230.98
352,34,32,2024-05-03,118.35
353,20,2,2024-06-10,192.97
354,45,2,2024-06-03,177.56
355,9,12,2024-05-10,394.67
356,20,17,2024-03-26,37.37
357,18,26,2024-10-16,44.0
358,26,3,2024-09-10,103.16
359,45,4,2024-06-01,187.4
360,24,28,2024-08-13,64.32
